"","lon"
"363",-79.0717
"364",-121.696
"365",-90.3369
"366",-106.6923
"367",-73.554
"368",-73.2413
"369",-73.553992
"370",-64.301
"371",-73.5667
"372",-58.05
"373",-64.1667
"374",-57.5833
"375",-82.6403
"376",-64.4945
"377",-73.1899
"378",-73.7425
"379",-73.189867
"380",-73.742528
"381",-68.8675
"382",-73.8
"383",-87.2169
"384",-80.6499
"385",-114.8237
"386",-63.2869
"387",-123.5509
"388",-71.009
"389",-82.5748
"390",-74.0348
"391",-71.459344
"392",-74.034756
"393",-76.738
"394",-75.95
"395",-76.7333
"396",-123.7079
"397",-103.7289
"398",-121.9368
"399",-67.5999
"400",-70.6482
"401",-82.4251
"402",-74.9332
"403",-67.599931
"404",-70.648207
"405",-74.933151
"406",-67.4489
"407",-70.4833
"408",-67.4413
"409",-114.4355
"410",-118.449
"411",-93.4285
"412",-119.6845
"413",-73.609
"414",-69.7128
"415",-71.6118
"416",-73.5874
"417",-75.844
"418",-73.587407
"419",-69.71284
"420",-71.611758
"421",-75.84396
"422",-75.841197
"423",-73.609011
"424",-115.9279
"425",-119.5937
"426",-73.3729
"427",-73.7138
"428",-72.2702
"429",-73.372864
"430",-72.270228
"431",-73.713766
"432",-75.8667
"433",-85.2748
"434",-120.0765
"435",-74.4673
"436",-74.4661
"437",-72.2789
"438",-71.9367
"439",-74.466114
"440",-74.467349
"441",-72.278871
"442",-71.936715
"443",-71.9333
"444",-74.0721
"445",-74.5027
"446",-80.0942
"447",-81.43
"448",-77.5728
"449",-95.1588
"450",-75.887
"451",-113.4909
"452",-71.5167
"453",-71.5244
"454",-71.516667
"455",-74.59442
"456",-119.7179
"457",-73.4178
"458",-73.417796
"459",-75.86667
"460",-73.7167
"461",-75.8892
"462",-60.2115
"463",-70.4531
"464",-68.3466
"465",-73.7106
"466",-73.710612
"467",-68.346627
"468",-73.2833
"469",-66.7833
"470",-73.9167
"471",-70.6563
"472",-73.9698
"473",-70.9465
"474",-73.969815
"475",-73.36667
"476",-70.040478
"477",-75.9333
"478",-70.8333
"479",-73.9787
"480",-73.978743
"481",-74.08333
"482",-100.9071
"483",-103.7718
"484",-66.9692
"485",-93.5916
"486",-90.983
"487",-71.1
"488",-81.9769
"489",-61.6969
"490",-73.2902
"491",-74.0799
"492",-73.290246
"493",-72.35267
"494",-76.0167
"495",-74.083333
"496",-76.02292
"497",-72.51667
"498",-76.06667
"499",-76.02127
"500",-74.079868
"501",-76.0833
"502",-76.4167
"503",-72.5167
"504",-75.75
"505",-73.716667
"506",-78.116667
"507",-75.0244
"508",-70.2171
"509",-69.8046
"510",-75.024377
"511",-69.804579
"512",-70.217071
"513",-72.3667
"514",-90.3573
"515",-82.9001
"516",-97.9581
"517",-94.9177
"518",-90.4068
"519",-74.6836
"520",-68.803
"521",-73.7571
"522",-73.9551
"523",-57.2415
"524",-74.683552
"525",-68.802989
"526",-73.757078
"527",-72.326498
"528",-74.683238
"529",-74.6833
"530",-57.2444
"531",-61.73564
"532",-61.8167
"533",-59.3333
"534",-60.0833
"535",-72.5667
"536",-70.4
"537",-72.5
"538",-58.95
"539",-64.7667
"540",-63.8167
"541",-74.355907
"542",-87.7981
"543",-80.0564
"544",-66.6431
"545",-90.46
"546",-73.807
"547",-81.3124
"548",-74.9166
"549",-74.9418
"550",-74.916613
"551",-73.806965
"552",-73.8167
"553",-74.941847
"554",-69.731719
"555",-74.6042
"556",-90.2472
"557",-90.3493
"558",-90.756
"559",-90.472
"560",-90.6678
"561",-90.3785
"562",-90.5121
"563",-90.6763
"564",-64.2127
"565",-74.207
"566",-71.9481
"567",-73.648
"568",-72.1761
"569",-74.4733
"570",-58.6515
"571",-73.2197
"572",-71.4593
"573",-74.333333
"574",-64.21268
"575",-74.206994
"576",-73.21967
"577",-71.94809
"578",-74.473325
"579",-73.648039
"580",-58.651544
"581",-72.176134
"582",-74.4833
"583",-73.2167
"584",-65.8912
"585",-75.89508
"586",-76.4333
"587",-73.3
"588",-79.2667
"589",-78.5577
"590",-102.39
"591",-69.8105
"592",-66.4893
"593",-73.8967
"594",-66.0385
"595",-66.489286
"596",-69.810459
"597",-74.595268
"598",-74.594543
"599",-72.5177
"600",-72.36789
"601",-66.05
"602",-71.63421
"603",-67.35
"604",-66.038524
"605",-75.8
"606",-106.67
"607",-106.6832
"608",-94.165
"609",-81.362
"610",-80.133
"611",-80.4473
"612",-101.2476
"613",-71.7051
"614",-95.2352
"615",-74.032
"616",-74.0058
"617",-75.0296
"618",-71.0828
"619",-74.1871
"620",-73.0165
"621",-71.2465
"622",-74.187112
"623",-75.029563
"624",-74.005791
"625",-73.016475
"626",-71.246459
"627",-71.180354
"628",-66.076
"629",-66.2
"630",-65.1306
"631",-64.2142
"632",-75.9305
"633",-66.091
"634",-74.1833
"635",-73.0167
"636",-66.08333
"637",-70.883333
"638",-74.032012
"639",-65.9
"640",-66.1833
"641",-66.1667
"642",-66.0667
"643",-66.0833
"644",-76.2
"645",-66.1167
"646",-66.1
"647",-66.07853
"648",-120.6434
"649",-106.0818
"650",-99.4937
"651",-93.6091
"652",-111.6149
"653",-64.7425
"654",-73.5845
"655",-71.3554
"656",-73.4715
"657",-71.1887
"658",-72.6643
"659",-70.5041
"660",-74.1151
"661",-72.3955
"662",-74.1842
"663",-72.664302
"664",-72.734066
"665",-71.355392
"666",-72.395491
"667",-70.504084
"668",-74.626964
"669",-78.9577
"670",-79.3694
"671",-74.2
"672",-72.258872
"673",-72.281188
"674",-64.487371
"675",-73.584455
"676",-74.6167
"677",-75.8167
"678",-73.6333
"679",-74.6
"680",-113.9322
"681",-99.4686
"682",-95.6594
"683",-82.1664
"684",-74.1323
"685",-74.6362
"686",-74.1579
"687",-70.9312
"688",-73.7494
"689",-73.94272
"690",-74.132342
"691",-74.157934
"692",-74.63617
"693",-70.931194
"694",-76.099297
"695",-73.749403
"696",-76.076958
"697",-73.21667
"698",-76.021486
"699",-76.0479
"700",-76.07
"701",-76.0748
"702",-76.1667
"703",-76.072778
"704",-76.2333
"705",-75.9167
"706",-66.15
"707",-75.6167
"708",-80.3322
"709",-70.9108
"710",-64.4361
"711",-69.8898
"712",-105.6597
"713",-69.1539
"714",-73.8917
"715",-68.6952
"716",-73.8486
"717",-71.2861
"718",-74.1747
"719",-71.2865
"720",-70.2107
"721",-70.2051
"722",-73.6516
"723",-73.1848
"724",-73.4465
"725",-73.8148
"726",-74.0284
"727",-75.727778
"728",-74.028414
"729",-68.695243
"730",-69.153943
"731",-73.848597
"732",-74.174698
"733",-71.286475
"734",-73.184759
"735",-73.651612
"736",-71.973939
"737",-73.891667
"738",-73.814791
"739",-70.205118
"740",-71.28607
"741",-70.210691
"742",-73.446481
"743",-79.26
"744",-72.5121
"745",-64.483333
"746",-72.516
"747",-68.7
"748",-74.1667
"749",-66.475938
"750",-72.6
"751",-72.1667
"752",-75.4167
"753",-60.7547
"754",-114.1015
"755",-80.2482
"756",-71.2096
"757",-72.7341
"758",-71.1594
"759",-70.0405
"760",-71.177
"761",-68.1504
"762",-71.176997
"763",-71.209574
"764",-74.2833
"765",-75.243415
"766",-64.504129
"767",-76.055
"768",-77.25
"769",-76.05
"770",-75.9667
"771",-75.85
"772",-78.1125
"773",-120.8345
"774",-79.8711
"775",-77.4711
"776",-79.4052
"777",-73.1123
"778",-71.1505
"779",-71.2405
"780",-73.2019
"781",-70.731
"782",-73.35
"783",-71.7349
"784",-71.0213
"785",-70.6943
"786",-71.240463
"787",-71.150535
"788",-73.201944
"789",-71.188677
"790",-71.203825
"791",-73.112302
"792",-70.730962
"793",-76.41667
"794",-76.41583
"795",-72.75
"796",-65.5
"797",-73.94
"798",-73.216667
"799",-70.2553
"800",-64.3598
"801",-82.4572
"802",-78.7687
"803",-80.0517
"804",-76.8949
"805",-76.8627
"806",-71.2166
"807",-74.1618
"808",-70.7243
"809",-72.9563
"810",-70.0337
"811",-73.7585
"812",-71.2261
"813",-71.6399
"814",-71.639925
"815",-74.161776
"816",-76.41
"817",-71.27573
"818",-74.2167
"819",-79.141483
"820",-75.0333
"821",-68.266667
"822",-79.9123
"823",-74.5731
"824",-79.919
"825",-81.7562
"826",-78.7677
"827",-75.1316
"828",-78.7667
"829",-77.4523
"830",-71.2428
"831",-73.6955
"832",-73.6057
"833",-72.9748
"834",-74.2591
"835",-70.8881
"836",-71.1478
"837",-71.6394
"838",-66.17322
"839",-73.605705
"840",-71.242796
"841",-74.259102
"842",-72.974807
"843",-71.639353
"844",-70.033674
"845",-73.40799
"846",-79.018759
"847",-74.2564
"848",-66.1956
"849",-73.9201
"850",-74.25
"851",-108.2253
"852",-63.1952
"853",-83.2273
"854",-81.1827
"855",-74.7667
"856",-72.5069
"857",-71.91167
"858",-73.24619
"859",-71.2265
"860",-73.758497
"861",-71.22753
"862",-75.01667
"863",-77.38333
"864",-71.9
"865",-71.805798
"866",-66.142858
"867",-73.15
"868",-71.36564
"869",-75.88315
"870",-77.262887
"871",-73.593287
"872",-77.383333
"873",-74.766667
"874",-75.1167
"875",-75.1333
"876",-78.75
"877",-71.46125
"878",-78.767
"879",-73.8028
"880",-73.5298
"881",-71.357
"882",-72.4522
"883",-73.9185
"884",-73.529825
"885",-73.349988
"886",-73.802778
"887",-73.918504
"888",-75.347226
"889",-72.452222
"890",-72.4667
"891",-69.7833
"892",-69.9833
"893",-122.6575
"894",-74.025
"895",-74.246
"896",-72.8375
"897",-68.855
"898",-72.837506
"899",-68.95
"900",-109.4802
"901",-70.8896
"902",-73.5657
"903",-75.4192
"904",-71.591
"905",-70.889629
"906",-71.591027
"907",-75.41917
"908",-73.565743
"909",-71.357009
"910",-65.906291
"911",-64.5615
"912",-79.363
"913",-71.2262
"914",-72.7639
"915",-72.5421
"916",-72.763899
"917",-72.542072
"918",-71.226204
"919",-71.470228
"920",-72.7744
"921",-72.935631
"922",-71.35
"923",-73.9504
"924",-72.9356
"925",-72.5376
"926",-73.7084
"927",-65.3338
"928",-71.3519
"929",-71.6409
"930",-71.2605
"931",-65.333814
"932",-71.640905
"933",-73.70841
"934",-72.537555
"935",-71.286
"936",-71.260452
"937",-71.639894
"938",-73.950361
"939",-65.3333
"940",-74.4151
"941",-72.1775
"942",-71.8732
"943",-70.9998
"944",-74.8335
"945",-71.2324
"946",-79.5014
"947",-73.1148
"948",-69.5686
"949",-65.9054
"950",-69.568636
"951",-70.796667
"952",-71.87322
"953",-70.999816
"954",-79.501381
"955",-72.177506
"956",-71.232386
"957",-73.114775
"958",-74.833546
"959",-70.953853
"960",-72.1833
"961",-70.8833
"962",-74.0017
"963",-66.183585
"964",-71.4833
"965",-77.75
"966",-71.5
