"","observed_scientific_name","valid_scientific_name","rank","vernacular_fr","kingdom","phylum","class","order","family","genus","species","itis_code"
"3521","Plebejus fridayi","Plebejus fridayi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Plebejus","Plebejus fridayi",NA
"3522","Apodemia virgulti","Apodemia virgulti","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Apodemia","Apodemia virgulti",NA
"3523","Anthocharis lanceolata","Anthocharis lanceolata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Anthocharis","Anthocharis lanceolata",NA
"3524","Satyrium auretorum","Satyrium auretorum","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium auretorum",NA
"3525","Cyclargus thomasi","Cyclargus thomasi","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Cyclargus","Cyclargus thomasi",NA
"3526","Chlosyne leanira","Chlosyne leanira","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Thessalia","Chlosyne leanira",NA
"3527","Euphilotes baueri","Euphilotes baueri","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euphilotes","Euphilotes baueri",NA
"3528","Neonympha helicta","Neonympha helicta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Euptychia","Neonympha helicta",NA
"3529","Hesperia attalus","Hesperia attalus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia attalus",NA
"3530","Parnassius behrii","Parnassius behrii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Parnassius","Parnassius behrii",NA
"3531","Erebia mackinleyensis","Erebia mackinleyensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Erebia","Erebia mackinleyensis",NA
"3532","Megathymus cofaqui","Megathymus cofaqui","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Megathymus","Megathymus cofaqui",NA
"3533","Codatractus arizonensis","Codatractus arizonensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Codatractus","Codatractus arizonensis",NA
"3534","Phyciodes picta","Phyciodes picta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes picta",NA
"3535","Agathymus aryxna","Agathymus aryxna","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Agathymus","Agathymus aryxna",NA
"3536","Poladryas minuta","Poladryas minuta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Poladryas","Poladryas minuta",NA
"3537","Stinga morrisoni","Stinga morrisoni","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Stinga","Stinga morrisoni",NA
"3538","Apyrrothrix araxes","Apyrrothrix araxes","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrrhopyge","Apyrrothrix araxes",NA
"3539","Nastra neamathla","Nastra neamathla","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Nastra","Nastra neamathla",NA
"3540","Phyciodes orseis","Phyciodes orseis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Phyciodes","Phyciodes orseis",NA
"3541","Satyrium fuliginosa","Satyrium fuliginosa","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Satyrium","Satyrium fuliginosa",NA
"3542","Dione moneta","Dione moneta","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Dione","Dione moneta",NA
"3543","Strymon albata","Strymon albata","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Strymon","Strymon albata",NA
"3544","Electrostrymon hugon","Electrostrymon hugon","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Electrostrymon","Electrostrymon endymion",NA
"3545","Memphis glycerium","Memphis glycerium","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Memphis","Anaea glycerium",NA
"3546","Gorgythion begga","Gorgythion begga","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Gorgythion","Gorgythion begga",NA
"3547","Urbanus teleus","Urbanus teleus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Urbanus","Urbanus teleus",NA
"3548","Atrytonopsis pittacus","Atrytonopsis pittacus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytonopsis","Atrytonopsis pittacus",NA
"3549","Atrytonopsis deva","Atrytonopsis deva","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Atrytonopsis","Atrytonopsis deva",NA
"3550","Ochlodes agricola","Ochlodes agricola","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Ochlodes","Ochlodes agricola",NA
"3551","Chlosyne gabbii","Chlosyne gabbii","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Chlosyne","Chlosyne gabbii",NA
"3552","Callophrys dumetorum","Callophrys dumetorum","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Callophrys","Callophrys dumetorum",NA
"3553","Papilio aristodemus","Papilio aristodemus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","Papilio","Papilio aristodemus",NA
"3554","Speyeria adiaste","Speyeria adiaste","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Speyeria","Speyeria adiaste",NA
"3555","Hesperia columbia","Hesperia columbia","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia columbia",NA
"3556","Euphilotes bernardino","Euphilotes bernardino","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euphilotes","Philotes bernardino",NA
"3557","Euphilotes columbiae","Euphilotes columbiae","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Euphilotes","Euphilotes columbiae",NA
"3558","Apodemia chisosensis","Apodemia chisosensis","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Riodinidae","Apodemia","Apodemia chisosensis",NA
"3559","Pseudocopaeodes eunus","Pseudocopaeodes eunus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pseudocopaeodes","Pseudocopaeodes eunus",NA
"3560","Pyrgus scriptura","Pyrgus scriptura","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Pyrgus","Pyrgus scriptura",NA
"3561","Amblyscirtes nereus","Amblyscirtes nereus","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes","Mastor nereus",NA
"3562","Amblyscirtes exoteria","Amblyscirtes exoteria","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Amblyscirtes","Mastor exoteria",NA
"3563","Hesperia woodgatei","Hesperia woodgatei","species","","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Hesperia","Hesperia woodgatei",NA
