"","original_source","creator","title","publisher","intellectual_rights","license","owner"
"38","gbif","GBIF","K-State Museum of Entomological and Prairie Arthropod Research","Kansas State University Museum of Entomological and Prairie Arthropod Research","Kansas State University Museum of Entomological and Prairie Arthropod Research","cc0 1.0","Kansas State University Museum of Entomological and Prairie Arthropod Research"
"39","gbif","GBIF","RBINS DaRWIN","Royal Belgian Institute of Natural Sciences","Royal Belgian Institute of Natural Sciences","cc by nc 4.0","Royal Belgian Institute of Natural Sciences"
"40","gbif","GBIF","A Revision of Lasionycta Aurivillius (Lepidoptera: Noctuidae) for North America and notes on Eurasian species, with descriptions of 17 new species, 6 new subspecies, a new genus, and two new species of Tricholita Grote","Plazi.org taxonomic treatments database","Plazi.org taxonomic treatments database","cc0 1.0","Plazi.org taxonomic treatments database"
"41","gbif","GBIF","KWP Lepidoptera Collection (Arctos)","University of Alaska Museum of the North","University of Alaska Museum of the North","cc by 4.0","University of Alaska Museum of the North"
"42","gbif","GBIF","UWIZM International Lepidoptera Collection","The University of the West Indies Zoology Museum (UWIZM)","The University of the West Indies Zoology Museum (UWIZM)","cc by 4.0","The University of the West Indies Zoology Museum (UWIZM)"
"43","gbif","GBIF","Aspilanta new genus (Heliozelidae) specimen data","Naturalis Biodiversity Center","Naturalis Biodiversity Center","cc0 1.0","Naturalis Biodiversity Center"
"44","gbif","GBIF","INSDC Sequences","European Nucleotide Archive (EMBL-EBI)","European Nucleotide Archive (EMBL-EBI)","cc by 4.0","European Nucleotide Archive (EMBL-EBI)"
"45","gbif","GBIF","San Diego Natural History Museum Entomology Department","San Diego Natural History Museum","San Diego Natural History Museum","cc by nc 4.0","San Diego Natural History Museum"
"46","gbif","GBIF","C.P. Gillette Museum of Arthropod Diversity","Colorado State University, C.P. Gillette Museum of Arthropod Diversity","Colorado State University, C.P. Gillette Museum of Arthropod Diversity","cc0 1.0","Colorado State University, C.P. Gillette Museum of Arthropod Diversity"
"47","gbif","GBIF","Natural History Museum (London) Collection Specimens","Natural History Museum","Natural History Museum","cc0 1.0","Natural History Museum"
"48","gbif","GBIF","McMaster University Collection","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc by 4.0","Canadian Biodiversity Information Facility"
"49","gbif","GBIF","University of Georgia Collection of Arthropods","University of Georgia Collection of Arthropods","University of Georgia Collection of Arthropods","cc0 1.0","University of Georgia Collection of Arthropods"
"50","gbif","GBIF","C.A. Triplehorn Insect Collection (OSUC), Ohio State University","Museum of Biological Diversity, The Ohio State University","Museum of Biological Diversity, The Ohio State University","cc by 4.0","Museum of Biological Diversity, The Ohio State University"
"51","gbif","GBIF","Virginia Polytechnic Institute and State University Insect Collection","Virginia Tech Insect Collection","Virginia Tech Insect Collection","cc0 1.0","Virginia Tech Insect Collection"
"52","gbif","GBIF","Ross A. Layberry Observations","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc0 1.0","Canadian Biodiversity Information Facility"
"53","gbif","GBIF","iNaturalist Research-grade Observations","iNaturalist.org","iNaturalist.org","cc by nc 4.0","iNaturalist.org"
"54","gbif","GBIF","Ross A. Layberry, Collection","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc0 1.0","Canadian Biodiversity Information Facility"
"55","gbif","GBIF","Insectarium de Montréal (IMQC)","Insectarium de Montréal","Insectarium de Montréal","cc by nc 4.0","Insectarium de Montréal"
"56","gbif","GBIF","Cornell University Plant Pathology Herbarium","Cornell Plant Pathology Herbarium (CUP)","Cornell Plant Pathology Herbarium (CUP)","cc0 1.0","Cornell Plant Pathology Herbarium (CUP)"
"57","gbif","GBIF","Peter Hall Observations","Canadian Biodiversity Information Facility","Canadian Biodiversity Information Facility","cc by 4.0","Canadian Biodiversity Information Facility"
"58","gbif","GBIF","Monarch Watch","United States Geological Survey","United States Geological Survey","cc0 1.0","United States Geological Survey"
"59","gbif","GBIF","Brigham Young University Arthropod Museum","Brigham Young University, Arthropod Collection","Brigham Young University, Arthropod Collection","cc by nc 4.0","Brigham Young University, Arthropod Collection"
"60","gbif","GBIF","Entomological specimens of Museum fuer Naturkunde und Vorgeschichte Dessau","Museum für Naturkunde Berlin","Museum für Naturkunde Berlin","cc by 4.0","Museum für Naturkunde Berlin"
"61","gbif","GBIF","Observation.org, Nature data from around the World","Observation.org","Observation.org","cc by nc 4.0","Observation.org"
"62","gbif","GBIF","First report of the old world genus Pelecystola in North America, with description of a new species (Lepidoptera, Tineidae)","Plazi.org taxonomic treatments database","Plazi.org taxonomic treatments database","cc0 1.0","Plazi.org taxonomic treatments database"
"63","gbif","GBIF","Arizona State University Hasbrouck Insect Collection","Arizona State University Biocollections","Arizona State University Biocollections","cc0 1.0","Arizona State University Biocollections"
"64","gbif","GBIF","Centre for Biodiversity Genomics - Canadian Specimens","University of Guelph","University of Guelph","cc0 1.0","University of Guelph"
"65","gbif","GBIF","Ville de Trois-Rivières - Bioblitz 2012","Ville de Trois-Rivières","Ville de Trois-Rivières","cc by nc 4.0","Ville de Trois-Rivières"
"66","gbif","GBIF","The myth of monophagy in Paralobesia (Lepidoptera: Tortricidae)? A new species feeding on Cypripedium reginae (Orchidaceae)","Plazi.org taxonomic treatments database","Plazi.org taxonomic treatments database","cc0 1.0","Plazi.org taxonomic treatments database"
"67","gbif","GBIF","First record in Quebec for the inconsolable underwing Catocala insolabilis Guenée (Lepidoptera: Erebidae, Erebinae)","Specimen Micropublications","Specimen Micropublications","cc0 1.0","Specimen Micropublications"
"68","gbif","GBIF","Mississippi Entomological Museum","Mississippi Entomological Museum","Mississippi Entomological Museum","cc0 1.0","Mississippi Entomological Museum"
"69","gbif","GBIF","Earth Guardians Weekly Feed","Questagame","Questagame","cc by nc 4.0","Questagame"
"70","gbif","GBIF","Global occurrence records of Robinia specialist insect herbivores","Czech University of Life Sciences Prague, Department of Forest Protection and Entomology","Czech University of Life Sciences Prague, Department of Forest Protection and Entomology","cc by nc 4.0","Czech University of Life Sciences Prague, Department of Forest Protection and Entomology"
"71","gbif","GBIF","naturgucker","naturgucker.de","naturgucker.de","cc by 4.0","naturgucker.de"
"72","gbif","GBIF","INSDC Host Organism Sequences","European Nucleotide Archive (EMBL-EBI)","European Nucleotide Archive (EMBL-EBI)","cc by 4.0","European Nucleotide Archive (EMBL-EBI)"
