"","lat","lon"
"1307",45.8945,-74.1242
"1309",45.8292,-74.548
"1310",45.8581,-73.5935
"1328",45.858133,-73.593482
"1334",45.8,-73.4667
"1337",45.8333,-74.55
"1338",45.9,-74.1333
"1343",45.485921,-73.604948
"1344",45.894502,-74.124203
"1345",45.829155,-74.548025
"1370",48.4284,-123.3656
"1377",40.7303,-80.3101
"1382",49.2827,-123.1207
"1388",45.4503,-73.75
"1394",45.450321,-73.750049
"1397",45.6383,-75.9308
"1402",45.5036,-75.7832
"1407",45.506,-75.788
"1408",45.25,-72.6167
"1410",45.45,-73.75
"1417",46.7833,-71.25
"1426",44.9429,-123.0351
"1427",49.7093,-99.6032
"1438",42.987,-81.2432
"1454",46.0279,-74.0637
"1465",46.02794,-74.063697
"1468",45.5374,-75.8945
"1471",45.45,-74.15
"1479",28.6,-81.3392
"1480",40.4527,-112.3608
"1485",45.6066,-73.7124
"1491",50.2437,-63.6005
"1495",50.243671,-63.600542
"1498",45.606649,-73.712409
"1502",45.5833,-73.75
"1507",45.4347,-76.3518
"1512",50.2277,-99.4668
"1519",47.333333,-79.5
"1521",45.538502,-75.897673
"1525",48.36743,-70.677971
"1530",40.8814,-82.6618
"1531",43.9695,-99.9018
"1533",38.627,-90.1994
"1543",39.1031,-84.512
"1558",45.3058,-73.2545
"1561",45.9931,-73.2985
"1562",45.1941,-72.5715
"1569",45.305771,-73.25449
"1572",45.194051,-72.571504
"1574",45.993107,-73.29848
"1578",45.1333,-72.8
"1581",45.4167,-73
"1585",46.8167,-71.2333
"1590",52.9399,-106.4509
"1592",55.4018,-97.1879
"1596",42.4959,-71.0198
"1597",42.3626,-71.3614
"1601",42.3601,-71.0589
"1630",45.6417,-73.5004
"1661",45.641666,-73.500401
"1662",46.9167,-70.9833
"1685",45.4558,-75.5047
"1686",42.5922,-83.3362
"1693",42.4408,-83.3657
"1706",38.5661,-90.4466
"1721",41.7898,-69.9897
"1731",38.9072,-77.0369
"1738",41.8205,-71.5126
"1749",40.9584,-75.9746
"1776",40.7934,-77.86
"1779",35.4719,-108.5439
"1784",45.4585,-74.1407
"1787",45.2745,-71.9739
"1802",45.274509,-71.97394
"1807",45.2833,-71.9667
"1812",45.458544,-74.140665
"1818",34.5199,-105.8701
"1819",41.7947,-71.421
"1820",51.1784,-115.5708
"1823",49.459,-120.5062
"1824",40.2338,-111.6585
"1828",35.5145,-108.5448
"1831",64.0167,-139.1
"1832",46.2295,-63.217
"1847",39.9526,-75.1652
"1851",48.3045,-89.7052
"1862",48.2941,-68.8669
"1863",45.4426,-74.1052
"1869",45.492,-73.5042
"1870",46.0486,-74.2816
"1895",45.4525,-73.6475
"1904",45.8755,-74.0821
"1910",46.048563,-74.281603
"1911",45.452484,-73.647513
"1914",45.442607,-74.105223
"1927",48.294074,-68.866898
"1932",45.492034,-73.504175
"1942",45.875457,-74.082091
"1945",45.55,-73.1667
"1952",45.8667,-74.0833
"1959",46.3833,-71.4167
"1961",45.5,-73.5
"1991",39.9541,-112.1202
"1995",42.9849,-81.2453
"2013",49.8848,-97.29
"2018",42.7351,-83.4193
"2022",49.8634,-97.2205
"2034",48.1807,-116.9094
"2038",48.4282,-58.4813
"2063",45.3653,-73.2577
"2072",45.4287,-75.7134
"2098",45.1957,-72.3638
"2100",45.2418,-72.546
