"","lon"
"1996",-74.35
"1998",-71.8
"2005",-74.354912
"2016",-71.4128
"2018",-81.0228
"2019",-90.5776
"2025",-71.4062
"2028",-79.942
"2030",-72.8286
"2070",-71.1833
"2071",-72.55
"2077",-94.5695
"2080",-101.0346
"2081",-105.7531
"2092",-89.3583
"2122",-69.7167
"2126",-78.8751
"2127",-79.0717
"2129",-121.696
"2133",-90.3369
"2135",-106.6923
"2138",-73.554
"2147",-73.2413
"2173",-73.553992
"2190",-64.301
"2195",-73.5667
"2201",-58.05
"2203",-64.1667
"2205",-57.5833
"2211",-82.6403
"2212",-64.4945
"2243",-73.1899
"2259",-73.7425
"2282",-73.189867
"2292",-73.742528
"2322",-68.8675
"2331",-73.8
"2346",-87.2169
"2347",-80.6499
"2348",-114.8237
"2351",-63.2869
"2354",-123.5509
"2356",-71.009
"2367",-82.5748
"2368",-74.0348
"2398",-71.459344
"2409",-74.034756
"2410",-76.738
"2427",-75.95
"2433",-76.7333
"2440",-123.7079
"2444",-103.7289
"2457",-121.9368
"2459",-67.5999
"2460",-70.6482
"2463",-82.4251
"2477",-74.9332
"2481",-67.599931
"2484",-70.648207
"2490",-74.933151
"2498",-67.4489
"2524",-70.4833
"2530",-67.4413
"2542",-114.4355
"2543",-118.449
"2544",-93.4285
"2557",-119.6845
"2561",-73.609
"2567",-69.7128
"2588",-71.6118
"2596",-73.5874
"2601",-75.844
"2605",-73.587407
"2611",-69.71284
"2612",-71.611758
"2625",-75.84396
"2639",-75.841197
"2662",-73.609011
"2703",-115.9279
"2708",-119.5937
"2717",-73.3729
"2725",-73.7138
"2728",-72.2702
"2764",-73.372864
"2783",-72.270228
"2810",-73.713766
"2821",-75.8667
"2827",-85.2748
"2830",-120.0765
"2854",-74.4673
"2873",-74.4661
"2876",-72.2789
"2883",-71.9367
"2941",-74.466114
"2949",-74.467349
"2977",-72.278871
"3010",-71.936715
"3027",-71.9333
"3079",-74.0721
"3080",-74.5027
"3083",-80.0942
"3086",-81.43
"3088",-77.5728
"3089",-95.1588
"3090",-75.887
"3093",-113.4909
"3120",-71.5167
"3147",-71.5244
"3153",-71.516667
"3183",-74.59442
"3190",-119.7179
"3194",-73.4178
"3208",-73.417796
"3220",-75.86667
"3225",-73.7167
"3232",-75.8892
"3240",-60.2115
"3241",-70.4531
"3245",-68.3466
"3253",-73.7106
"3258",-73.710612
"3266",-68.346627
"3267",-73.2833
"3274",-66.7833
"3276",-73.9167
"3290",-70.6563
"3330",-73.9698
"3336",-70.9465
"3351",-73.969815
"3384",-73.36667
"3436",-70.040478
"3437",-75.9333
"3439",-70.8333
"3530",-73.9787
"3578",-73.978743
"3607",-74.08333
"3738",-100.9071
"3739",-103.7718
"3744",-66.9692
"3751",-93.5916
"3753",-90.983
"3758",-71.1
"3759",-81.9769
"3760",-61.6969
"3771",-73.2902
"3785",-74.0799
"3864",-73.290246
"3930",-72.35267
"3931",-76.0167
