"","lat","lon"
"1141",45.8292,-74.548
"1142",45.8581,-73.5935
"1158",45.858133,-73.593482
"1163",45.8,-73.4667
"1166",45.8333,-74.55
"1167",45.9,-74.1333
"1171",45.485921,-73.604948
"1172",45.894502,-74.124203
"1173",45.829155,-74.548025
"1196",48.4284,-123.3656
"1201",40.7303,-80.3101
"1205",49.2827,-123.1207
"1210",45.4503,-73.75
"1215",45.450321,-73.750049
"1217",45.6383,-75.9308
"1224",45.5036,-75.7832
"1228",45.506,-75.788
"1229",45.25,-72.6167
"1231",45.45,-73.75
"1236",46.7833,-71.25
"1244",44.9429,-123.0351
"1245",49.7093,-99.6032
"1256",42.987,-81.2432
"1269",46.0279,-74.0637
"1279",46.02794,-74.063697
"1282",45.5374,-75.8945
"1285",45.45,-74.15
"1292",28.6,-81.3392
"1293",40.4527,-112.3608
"1298",45.6066,-73.7124
"1302",50.2437,-63.6005
"1305",50.243671,-63.600542
"1307",45.606649,-73.712409
"1311",45.5833,-73.75
"1316",45.4347,-76.3518
"1321",50.2277,-99.4668
"1327",47.333333,-79.5
"1329",45.538502,-75.897673
"1333",48.36743,-70.677971
"1338",40.8814,-82.6618
"1339",43.9695,-99.9018
"1341",38.627,-90.1994
"1350",39.1031,-84.512
"1363",45.3058,-73.2545
"1366",45.9931,-73.2985
"1367",45.1941,-72.5715
"1374",45.305771,-73.25449
"1377",45.194051,-72.571504
"1379",45.993107,-73.29848
"1384",45.1333,-72.8
"1386",45.4167,-73
"1390",46.8167,-71.2333
"1394",52.9399,-106.4509
"1396",55.4018,-97.1879
"1400",42.4959,-71.0198
"1401",42.3626,-71.3614
"1404",42.3601,-71.0589
"1428",45.6417,-73.5004
"1453",45.641666,-73.500401
"1454",46.9167,-70.9833
"1477",45.4558,-75.5047
"1478",42.5922,-83.3362
"1483",42.4408,-83.3657
"1495",38.5661,-90.4466
"1506",41.7898,-69.9897
"1515",38.9072,-77.0369
"1522",41.8205,-71.5126
"1531",40.9584,-75.9746
"1554",40.7934,-77.86
"1556",35.4719,-108.5439
"1561",45.4585,-74.1407
"1564",45.2745,-71.9739
"1577",45.274509,-71.97394
"1582",45.2833,-71.9667
"1587",45.458544,-74.140665
"1594",34.5199,-105.8701
"1595",41.7947,-71.421
"1596",51.1784,-115.5708
"1598",49.459,-120.5062
"1599",40.2338,-111.6585
"1603",35.5145,-108.5448
"1606",64.0167,-139.1
"1607",46.2295,-63.217
"1621",39.9526,-75.1652
"1625",48.3045,-89.7052
"1636",48.2941,-68.8669
"1637",45.4426,-74.1052
"1641",45.492,-73.5042
"1642",46.0486,-74.2816
"1662",45.4525,-73.6475
"1669",45.8755,-74.0821
"1674",46.048563,-74.281603
"1675",45.452484,-73.647513
"1678",45.442607,-74.105223
"1688",48.294074,-68.866898
"1692",45.492034,-73.504175
"1701",45.875457,-74.082091
"1703",45.55,-73.1667
"1709",45.8667,-74.0833
"1714",46.3833,-71.4167
"1716",45.5,-73.5
"1742",39.9541,-112.1202
"1745",42.9849,-81.2453
"1762",49.8848,-97.29
"1765",42.7351,-83.4193
"1768",49.8634,-97.2205
"1778",48.1807,-116.9094
"1781",48.4282,-58.4813
"1800",45.3653,-73.2577
"1808",45.4287,-75.7134
"1829",45.1957,-72.3638
"1830",45.2418,-72.546
"1838",45.428731,-75.713366
"1845",45.365293,-73.257694
"1880",45.4333,-75.7333
"1881",46.967,-78.216
"1882",45.365,-71.858
"1897",45.2,-72.35
"1899",45.3084,-73.2529
"1905",45.241774,-72.545964
"1908",45.195708,-72.363775
"1920",41.8137,-71.3701
"1942",40.4406,-79.9959
"1955",45.569,-71.7928
"1957",45.8836,-74.3549
"1977",45.569049,-71.792751
"1991",45.4,-75.8333
"1996",45.8833,-74.35
"1998",45.5333,-71.8
"2005",45.883611,-74.354912
"2016",41.824,-71.4128
"2018",29.2108,-81.0228
"2019",41.5236,-90.5776
"2025",41.9722,-71.4062
"2028",44.9916,-79.942
"2030",41.5191,-72.8286
"2070",46.8,-71.1833
"2071",45.25,-72.55
"2077",48.7217,-94.5695
"2080",50.1427,-101.0346
"2081",53.2033,-105.7531
"2092",48.345,-89.3583
"2122",48.15,-69.7167
"2126",38.0707,-78.8751
"2127",38.1496,-79.0717
"2129",45.3736,-121.696
"2133",41.7545,-90.3369
"2135",35.7686,-106.6923
"2138",45.5087,-73.554
"2147",45.8654,-73.2413
"2173",45.50867,-73.553992
"2190",48.477,-64.301
"2195",45.45,-73.5667
"2201",51.3167,-58.05
"2203",48.5,-64.1667
"2205",51.5,-57.5833
"2211",27.7676,-82.6403
"2212",45.0769,-64.4945
"2243",45.5553,-73.1899
"2259",45.4387,-73.7425
"2282",45.555293,-73.189867
"2292",45.438659,-73.742528
"2322",48.2928,-68.8675
"2331",45.45,-73.8
"2346",30.4213,-87.2169
"2347",43.4001,-80.6499
"2348",68.8115,-114.8237
"2351",45.3658,-63.2869
"2354",48.4572,-123.5509
"2356",45.0077,-71.009
"2367",27.4989,-82.5748
"2368",46.0446,-74.0348
"2398",46.747041,-71.459344
"2409",46.044603,-74.034756
"2410",45.842,-76.738
"2427",45.56667,-75.95
"2433",45.85,-76.7333
"2440",48.7787,-123.7079
"2444",42.5013,-103.7289
"2457",50.6863,-121.9368
"2459",49.3244,-67.5999
"2460",47.6304,-70.6482
"2463",27.5875,-82.4251
"2477",46.2699,-74.9332
"2481",49.324423,-67.599931
"2484",47.630422,-70.648207
"2490",46.269881,-74.933151
"2497",49.31667,-67.6
"2498",49.3243,-67.4489
"2524",47.4833,-70.4833
"2530",49.3227,-67.4413
"2542",49.6073,-114.4355
"2543",35.1322,-118.449
"2544",37.305,-93.4285
"2557",50.8188,-119.6845
"2561",45.5143,-73.609
"2567",48.146,-69.7128
"2588",46.3714,-71.6118
"2596",45.5071,-73.5874
"2601",45.3945,-75.844
"2605",45.507102,-73.587407
"2611",48.145978,-69.71284
"2612",46.371437,-71.611758
"2625",45.394509,-75.84396
"2639",45.490642,-75.841197
"2662",45.514286,-73.609011
"2668",45.3833,-75.8333
"2703",47.4741,-115.9279
"2708",49.4991,-119.5937
"2717",45.082,-73.3729
"2725",45.5296,-73.7138
"2728",45.2944,-72.2702
"2764",45.081979,-73.372864
"2783",45.294355,-72.270228
"2810",45.529638,-73.713766
"2821",45.4,-75.8667
"2827",48.594,-85.2748
"2830",49.3572,-120.0765
"2854",45.9238,-74.4673
"2873",45.9013,-74.4661
"2876",45.3018,-72.2789
"2883",45.1859,-71.9367
"2941",45.9013,-74.466114
"2949",45.923754,-74.467349
"2977",45.301781,-72.278871
"3010",45.185861,-71.936715
"3027",45.1833,-71.9333
"3079",45.8657,-74.0721
"3080",45.1437,-74.5027
"3083",26.9342,-80.0942
"3086",30.3924,-81.43
"3088",39.6548,-77.5728
"3089",43.3821,-95.1588
"3090",45.3658,-75.887
"3093",53.5444,-113.4909
"3120",48.6667,-71.5167
"3147",48.6741,-71.5244
"3153",48.666667,-71.516667
"3183",46.1214,-74.59442
"3188",45.05,-73.5833
"3190",51.5788,-119.7179
"3194",46.014,-73.4178
"3208",46.014012,-73.417796
"3220",45.51667,-75.86667
"3225",46.05,-73.7167
"3232",45.535,-75.8892
