"","annee","nombre_especes","latitude","longitude"
"2614",2020,2,45.441335,-73.688585
"2615",2020,3,45.441347,-73.688585
"2616",2020,1,45.441413,-72.61988
"2617",2020,1,45.441899,-73.478514
"2618",2020,1,45.441984,-75.798887
"2619",2020,1,45.441986,-73.60393
"2620",2020,1,45.441997,-73.478427
"2621",2020,1,45.441998,-73.601366
"2622",2020,1,45.442054,-73.58393
"2623",2020,1,45.442114,-75.704936
"2624",2020,1,45.442272,-71.055703
"2625",2020,1,45.442389,-73.605082
"2626",2020,1,45.442411,-73.610173
"2627",2020,1,45.442667,-73.609785
"2628",2020,1,45.442778,-75.754722
"2629",2020,1,45.442919,-73.609656
"2630",2020,1,45.443024,-73.709469
"2631",2020,1,45.443129,-73.597904
"2632",2020,2,45.443135,-73.609699
"2633",2020,1,45.443157,-73.609615
"2634",2020,1,45.443179,-73.596201
"2635",2020,1,45.443203,-73.60907
"2636",2020,1,45.443365,-73.596222
"2637",2020,1,45.443472,-73.601109
"2638",2020,1,45.443513,-73.601175
"2639",2020,1,45.443672,-73.597093
"2640",2020,1,45.443974,-73.576645
"2641",2020,1,45.44438,-73.706929
"2642",2020,3,45.444536,-73.601789
"2643",2020,1,45.445,-73.686388
"2644",2020,2,45.445878,-73.606721
"2645",2020,1,45.446827,-73.571875
"2646",2020,1,45.447209,-71.728103
"2647",2020,1,45.447579,-73.645421
"2648",2020,1,45.447997,-73.552578
"2649",2020,1,45.448362,-73.790367
"2650",2020,1,45.448372,-73.577408
"2651",2020,1,45.448556,-73.275835
"2652",2020,1,45.449225,-73.450362
"2653",2020,2,45.449512,-73.485633
"2654",2020,1,45.449815,-73.835074
"2655",2020,1,45.449833,-73.62947
"2656",2020,1,45.450048,-73.610007
"2657",2020,2,45.450321,-73.750049
"2658",2020,1,45.450407,-73.327921
"2659",2020,1,45.450517,-73.808495
"2660",2020,1,45.450538,-73.455262
"2661",2020,1,45.450638,-73.472078
"2662",2020,1,45.45067,-73.471895
"2663",2020,1,45.450695,-73.47207
"2664",2020,1,45.450725,-73.472038
"2665",2020,1,45.45077,-75.721287
"2666",2020,1,45.45083,-75.722575
"2667",2020,1,45.450847,-75.901908
"2668",2020,1,45.450891,-75.723175
"2669",2020,1,45.450992,-73.809745
"2670",2020,1,45.451011,-75.722146
"2671",2020,1,45.451028,-73.809958
"2672",2020,1,45.451063,-73.782363
"2673",2020,1,45.45108,-73.782508
"2674",2020,1,45.451167,-73.81003
"2675",2020,24,45.451212,-74.311811
"2676",2020,1,45.451256,-73.88799
"2677",2020,1,45.451305,-73.864848
"2678",2020,1,45.451876,-73.360297
"2679",2020,1,45.452158,-73.797303
"2680",2020,1,45.452459,-73.825967
"2681",2020,1,45.45246,-75.721303
"2682",2020,2,45.452692,-73.826218
"2683",2020,1,45.452923,-73.553601
"2684",2020,1,45.452984,-73.553278
"2685",2020,6,45.453162,-75.925033
"2686",2020,1,45.453545,-73.80887
"2687",2020,4,45.453572,-74.284499
"2688",2020,1,45.453616,-73.897172
"2689",2020,1,45.453725,-73.808875
"2690",2020,1,45.453744,-73.552854
"2691",2020,1,45.45379,-73.552703
"2692",2020,1,45.453966,-73.89745
"2693",2020,1,45.453975,-73.55093
"2694",2020,1,45.453982,-73.550743
"2695",2020,1,45.454126,-73.55125
"2696",2020,1,45.454174,-73.552671
"2697",2020,1,45.454388,-73.806145
"2698",2020,1,45.45452,-73.552081
"2699",2020,1,45.4546,-72.170625
"2700",2020,1,45.454682,-73.551669
"2701",2020,1,45.454696,-73.552096
"2702",2020,1,45.454725,-73.650236
"2703",2020,1,45.454806,-73.551614
"2704",2020,1,45.455159,-73.828073
"2705",2020,2,45.455194,-74.22977
"2706",2020,1,45.455287,-73.898523
"2707",2020,1,45.455427,-73.55242
"2708",2020,1,45.455475,-73.370675
"2709",2020,1,45.455519,-75.711144
"2710",2020,1,45.455549,-73.563333
"2711",2020,1,45.45556,-73.898645
"2712",2020,1,45.455755,-73.465364
"2713",2020,13,45.456062,-73.371812
"2714",2020,1,45.456169,-73.553826
"2715",2020,1,45.456219,-73.554079
"2716",2020,1,45.456229,-73.555991
"2717",2020,1,45.456297,-73.803359
"2718",2020,1,45.456368,-73.553188
"2719",2020,1,45.456436,-74.130334
"2720",2020,3,45.456559,-73.364259
"2721",2020,1,45.456564,-73.609942
"2722",2020,1,45.456571,-73.655988
"2723",2020,1,45.456575,-75.777144
"2724",2020,1,45.45662,-71.898225
"2725",2020,2,45.456738,-73.564068
"2726",2020,1,45.456787,-73.636432
"2727",2020,1,45.456798,-74.139288
"2728",2020,1,45.457009,-73.927864
"2729",2020,1,45.457082,-73.630216
"2730",2020,1,45.45711,-73.6304
"2731",2020,1,45.45717,-73.564846
"2732",2020,1,45.457225,-73.558035
"2733",2020,1,45.457383,-73.557833
"2734",2020,1,45.457399,-73.643053
"2735",2020,1,45.457513,-73.557025
"2736",2020,1,45.457531,-73.558105
"2737",2020,4,45.457598,-74.267125
"2738",2020,1,45.457612,-73.64097
"2739",2020,1,45.457707,-73.74842
"2740",2020,1,45.457868,-73.5512
"2741",2020,2,45.458114,-73.639152
"2742",2020,1,45.45814,-73.557803
"2743",2020,1,45.458175,-75.82222
"2744",2020,1,45.458204,-73.657388
"2745",2020,1,45.458207,-75.822121
"2746",2020,4,45.458224,-72.664353
"2747",2020,5,45.458325,-74.217238
"2748",2020,1,45.458373,-73.556658
"2749",2020,1,45.458435,-74.273674
"2750",2020,1,45.458486,-73.657111
"2751",2020,1,45.458688,-73.259824
"2752",2020,1,45.458724,-73.555554
"2753",2020,1,45.458867,-74.154367
"2754",2020,1,45.459459,-73.642437
"2755",2020,1,45.45964,-75.773317
"2756",2020,1,45.459666,-75.775093
"2757",2020,1,45.459673,-75.77509
"2758",2020,1,45.459707,-75.772647
"2759",2020,1,45.45974,-75.775152
"2760",2020,1,45.459776,-73.642468
"2761",2020,1,45.459805,-73.496312
"2762",2020,2,45.460094,-75.776114
"2763",2020,1,45.460138,-73.925995
"2764",2020,1,45.460147,-73.925347
"2765",2020,1,45.460415,-73.811494
